,brr1_lnSE
223,-14.368301294616103
224,-9.066581956774455
225,-10.039413874637813
226,-7.491243906749492
227,-10.062148891456502
228,-9.16473010238261
229,-9.96324059899896
230,-10.79087507740627
231,-10.12621704876907
232,-10.818381043772485
233,-7.745355226967237
234,-9.811258906643035
235,-10.164526574427011
236,-9.01755984353614
237,-13.699078225985378
238,-12.038928000274797
239,-8.979314819973364
240,-8.283194212112312
241,-9.553911812134697
242,-8.068045326408377
243,-9.219989688451456
244,-10.550487748330081
245,-10.477431059412305
246,-11.486574050003762
247,-16.320322024020328
248,-9.324964533307485
249,-7.889876895381759
250,-11.807301849752875
251,-10.783610921145897
252,-8.350445964048504
253,-11.413155612071149
254,-11.61856013728853
255,-9.074737917905171
256,-9.770963925308953
257,-9.023792357886569
258,-7.574439524837655
259,-8.197924482990313
260,-11.19558042824399
261,-11.39560511693766
262,-13.562839546204357
263,-8.640639158234405
264,-7.1736525095747545
265,-12.023300242842474
266,-10.08378032159458
267,-10.121965910752595
268,-7.379505995409323
269,-10.347662261177524
270,-10.693602731961048
271,-10.757105038693462
272,-11.50341850324541
273,-8.561525037416876
274,-9.433949990788955
275,-8.096828315700009
276,-7.985647707976233
277,-9.385640336662856
278,-10.295699596264328
279,-10.430483668456812
280,-13.079825786521571
281,-10.258094659258592
282,-11.94936698927743
283,-10.98727064455534
284,-13.714097893334076
285,-8.578108614368253
286,-10.046978939670964
287,-7.678757944990154
288,-8.05877623674072
289,-9.922399258320063
290,-9.947280261831452
291,-9.574362252738918
292,-13.014680951969295
293,-12.14614681725993
294,-10.762687233989297
295,-11.061603145827846
296,-11.061520291423932
297,-9.838459985659904
298,-7.965500710919508
299,-6.414277079367026
300,-9.16573273203358
301,-9.246215631419267
302,-9.673293753562563
303,-8.740048193306155
304,-7.022695535188316
305,-7.097312595700468
306,-9.846184637695643
307,-13.92670306042144
308,-8.904668656744052
309,-10.560952234666212
310,-10.52561028061206
311,-12.199405962835755
312,-8.513007649938954
313,-11.726834454719913
314,-12.31557852438569
315,-9.910774987002256
316,-9.750689304805794
317,-9.6383749919256
318,-7.597119787327912
319,-8.97080215279425
320,-9.556281536866264
321,-10.973157859372003
322,-12.267815606196777
323,-9.779323796177104
324,-12.28579565558486
325,-10.398542956571964
326,-12.707497521015888
327,-7.214093251158862
328,-7.557806720708016
329,-9.725791134382442
330,-14.50058884125276
331,-8.957185270458885
332,-9.574733944212502
333,-9.863644776203921
334,-11.255371168442604
335,-10.365295302605364
336,-9.011164905419946
337,-14.840509472182035
338,-8.043335884218845
339,-12.968931422483342
340,-9.410708372993188
341,-10.29377886478606
342,-8.4268670095376
343,-14.740006246073587
344,-10.910937151918427
345,-10.613185861191274
346,-9.656985778058743
347,-8.202729083604494
348,-9.070201667041728
349,-11.840762847979752
350,-8.168090782115563
351,-12.437044581458554
352,-8.529945568642978
353,-7.212136274950241
354,-10.229835322559335
355,-10.693983437249035
356,-6.3201322030061995
357,-6.81948486254455
358,-12.757251789140888
359,-9.162517173004044
360,-10.563682166091
361,-9.201875574633464
362,-7.66139344142888
363,-11.587047210122533
364,-9.376138101667998
365,-9.494918637379797
366,-11.144631778257638
367,-7.972703957831116
368,-11.959455438417107
369,-9.673035537030682
370,-9.72841154633103
371,-7.489638038000346
372,-11.024388322036916
373,-10.221558899714733
374,-13.114117373911148
375,-9.557129903047
376,-12.49847244739918
377,-9.77262153340759
378,-6.357256729887389
379,-10.937229878779462
380,-11.041439956846965
381,-10.703862794791622
382,-8.331644277210616
383,-9.58052571978144
384,-16.420710533362875
385,-8.821740350818246
386,-7.7961270792956086
387,-9.864188917608246
388,-8.512724533761375
389,-12.170430103265712
390,-8.048223533789617
