,Dates,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
982,2/16/2012,-2.01166494,-2.059307296,-2.133687786,-2.419688557,-2.604619543,-2.540763295,-2.199372091,-2.258630673,-2.322275387,-2.1858994,-2.189304822,-2.304619164,-2.611936024,-2.540189846,-2.467793137,-1.961261968,-2.058803309,-2.131591882,-1.928247764,-1.93315808,-2.099715664
983,2/19/2012,-2.383013106,-2.01166494,-2.059307296,-2.737582189,-2.419688557,-2.604619543,-2.418158454,-2.199372091,-2.258630673,-2.431791484,-2.1858994,-2.189304822,-2.717891644,-2.611936024,-2.540189846,-2.259216267,-1.961261968,-2.058803309,-2.262409215,-1.928247764,-1.93315808
984,2/20/2012,-2.444635435,-2.383013106,-2.01166494,-2.57571228,-2.737582189,-2.419688557,-2.358085065,-2.418158454,-2.199372091,-2.461441227,-2.431791484,-2.1858994,-2.628731973,-2.717891644,-2.611936024,-1.939190453,-2.259216267,-1.961261968,-2.394344029,-2.262409215,-1.928247764
985,2/21/2012,-1.962445079,-2.444635435,-2.383013106,-2.417256317,-2.57571228,-2.737582189,-2.018306279,-2.358085065,-2.418158454,-1.938755881,-2.461441227,-2.431791484,-2.394511513,-2.628731973,-2.717891644,-1.783417541,-1.939190453,-2.259216267,-1.904358878,-2.394344029,-2.262409215
986,2/22/2012,-2.170538258,-1.962445079,-2.444635435,-2.645651445,-2.417256317,-2.57571228,-2.339727308,-2.018306279,-2.358085065,-2.442115597,-1.938755881,-2.461441227,-2.522277978,-2.394511513,-2.628731973,-2.167337696,-1.783417541,-1.939190453,-2.103247411,-1.904358878,-2.394344029
987,2/23/2012,-2.250917755,-2.170538258,-1.962445079,-2.674254535,-2.645651445,-2.417256317,-2.428984164,-2.339727308,-2.018306279,-2.38209265,-2.442115597,-1.938755881,-2.757226917,-2.522277978,-2.394511513,-2.237639669,-2.167337696,-1.783417541,-2.208586928,-2.103247411,-1.904358878
988,2/26/2012,-2.32787753,-2.250917755,-2.170538258,-2.7372644,-2.674254535,-2.645651445,-2.477689127,-2.428984164,-2.339727308,-2.538361044,-2.38209265,-2.442115597,-2.626972528,-2.757226917,-2.522277978,-2.247634285,-2.237639669,-2.167337696,-2.204371815,-2.208586928,-2.103247411
989,2/27/2012,-2.225335088,-2.32787753,-2.250917755,-2.564924714,-2.7372644,-2.674254535,-2.413245575,-2.477689127,-2.428984164,-2.383273728,-2.538361044,-2.38209265,-2.608266782,-2.626972528,-2.757226917,-2.144408222,-2.247634285,-2.237639669,-2.167019003,-2.204371815,-2.208586928
990,2/28/2012,-2.317963828,-2.225335088,-2.32787753,-2.516443502,-2.564924714,-2.7372644,-2.394424148,-2.413245575,-2.477689127,-2.409572353,-2.383273728,-2.538361044,-2.58885891,-2.608266782,-2.626972528,-2.153366797,-2.144408222,-2.247634285,-2.196808655,-2.167019003,-2.204371815
991,2/29/2012,-2.038497137,-2.317963828,-2.225335088,-2.39435591,-2.516443502,-2.564924714,-2.167378067,-2.394424148,-2.413245575,-2.293371383,-2.409572353,-2.383273728,-2.346629082,-2.58885891,-2.608266782,-1.966727647,-2.153366797,-2.144408222,-1.867863552,-2.196808655,-2.167019003
992,3/1/2012,-2.261274128,-2.038497137,-2.317963828,-2.561237579,-2.39435591,-2.516443502,-2.416903654,-2.167378067,-2.394424148,-2.399208982,-2.293371383,-2.409572353,-2.587803467,-2.346629082,-2.58885891,-2.224529121,-1.966727647,-2.153366797,-2.198199623,-1.867863552,-2.196808655
993,3/4/2012,-2.405292768,-2.261274128,-2.038497137,-2.771356352,-2.561237579,-2.39435591,-2.502679433,-2.416903654,-2.167378067,-2.499667201,-2.399208982,-2.293371383,-2.628767538,-2.587803467,-2.346629082,-2.318122226,-2.224529121,-1.966727647,-2.228876525,-2.198199623,-1.867863552
994,3/5/2012,-2.314099156,-2.405292768,-2.261274128,-2.600654596,-2.771356352,-2.561237579,-2.406536047,-2.502679433,-2.416903654,-2.378363838,-2.499667201,-2.399208982,-2.645979358,-2.628767538,-2.587803467,-2.210755901,-2.318122226,-2.224529121,-2.221061291,-2.228876525,-2.198199623
995,3/6/2012,-2.151867014,-2.314099156,-2.405292768,-2.5316343,-2.600654596,-2.771356352,-2.506078394,-2.406536047,-2.502679433,-2.559861328,-2.378363838,-2.499667201,-2.523209551,-2.645979358,-2.628767538,-2.263592927,-2.210755901,-2.318122226,-2.017193742,-2.221061291,-2.228876525
996,3/7/2012,-2.093069794,-2.151867014,-2.314099156,-2.598881266,-2.5316343,-2.600654596,-2.505643436,-2.506078394,-2.406536047,-2.524532885,-2.559861328,-2.378363838,-2.769974362,-2.523209551,-2.645979358,-2.221873834,-2.263592927,-2.210755901,-2.097424045,-2.017193742,-2.221061291
997,3/8/2012,-2.153996752,-2.093069794,-2.151867014,-2.49197998,-2.598881266,-2.5316343,-2.445020918,-2.505643436,-2.506078394,-2.378163665,-2.524532885,-2.559861328,-2.651407617,-2.769974362,-2.523209551,-2.21082893,-2.221873834,-2.263592927,-2.050694089,-2.097424045,-2.017193742
