,Dates,1,2,3,4,5,6,7,8,9
107,10/5/2008,-0.516850712,-1.596526734,-1.614797331,-1.591195332,-1.610753064,-0.961372843,-1.325153262,-0.762374653,-1.338944125
108,10/6/2008,-0.429902061,-1.704322361,-1.727273113,-1.503749354,-1.389588221,-1.02234125,-1.243493485,-0.485801041,-1.277998078
109,10/7/2008,-0.017256765,-1.439306083,-1.484273771,-1.415791482,-1.377995049,-0.725959225,-1.074895249,-0.175078251,-1.143111279
110,10/8/2008,-0.469949426,-1.518380768,-1.768415564,-1.693009137,-1.579599893,-1.187228162,-1.463428431,-0.566521779,-1.3452396
111,10/9/2008,-0.139777195,-0.982987783,-1.493375223,-1.413408688,-1.214070756,-0.870841853,-1.142823966,-0.265902985,-1.087148296
112,10/12/2008,-0.556621424,-1.372693734,-1.496205541,-1.513242393,-1.43936355,-1.341298568,-1.296921491,-0.584590529,-1.337542802
113,10/13/2008,-0.631011745,-1.380884422,-1.875546362,-1.684932224,-1.633992289,-1.404678752,-1.429608278,-0.744538785,-1.312040399
114,10/14/2008,-0.65910035,-1.503697695,-1.899255379,-1.81244915,-1.82232073,-1.418270515,-1.395625756,-0.790198414,-1.314006952
115,10/15/2008,-0.306925147,-1.309739195,-1.58748073,-1.479651677,-1.443720387,-1.205362095,-0.949095351,-0.429336808,-0.916531834
116,10/16/2008,-0.598271202,-1.587400187,-1.869708389,-1.774364949,-1.894595754,-1.541225983,-1.280492011,-0.846172319,-1.217947825
117,10/19/2008,-0.960494472,-1.837824061,-2.04023145,-1.881250451,-1.704603036,-1.611329558,-1.17504377,-1.062781665,-1.16955833
118,10/20/2008,-1.006669855,-1.670825233,-1.93217806,-1.821874276,-1.56741025,-1.59265841,-1.239774083,-1.149296706,-1.218742288
119,10/21/2008,-0.700554691,-1.576015295,-1.532529322,-1.239602561,-1.086263144,-1.337300091,-0.891994143,-0.778830589,-0.906167955
120,10/22/2008,-0.558726868,-1.499648447,-1.749295058,-1.354527074,-1.216005974,-1.14935497,-0.897474027,-0.65064665,-1.042328312
121,10/23/2008,-0.344565865,-1.176865562,-1.175301504,-1.105711964,-0.671733291,-0.440989044,-0.625608579,-0.417659648,-0.837931392
122,10/26/2008,-0.640289852,-1.451780803,-1.322127237,-1.214636582,-0.89357638,-0.804746896,-0.997423653,-0.630547623,-0.909314902
123,10/27/2008,-0.720162187,-1.453527325,-1.579398437,-1.339234944,-1.141213634,-0.878493231,-1.001568713,-0.694181225,-0.945621659
124,10/28/2008,-0.487637778,-0.978280791,-1.228326162,-1.188217561,-1.121755947,-0.849736928,-0.88502695,-0.578252549,-0.906430855
125,10/29/2008,-0.542502246,-1.011097198,-1.265067319,-1.167393587,-1.134987532,-1.128545073,-0.904791382,-0.588175803,-0.808395123
126,10/30/2008,-0.593449031,-0.915341718,-1.358749876,-1.220567595,-1.045901897,-1.029294898,-0.99798595,-0.712448444,-1.002467125
127,11/2/2008,-0.911515238,-1.38552248,-1.860162128,-1.743626608,-1.334520455,-0.319772637,-1.346408953,-1.152221273,-1.406176272
128,11/3/2008,-0.880104897,-1.312996491,-1.621718337,-1.484652768,-1.252702111,-1.400882958,-1.209411953,-0.961251306,-1.287004581
129,11/4/2008,-0.788504912,-1.216121665,-1.428152533,-1.227558994,-1.106969475,-1.427630242,-1.11014988,-0.945890297,-1.055957644
130,11/5/2008,-0.652072787,-1.436666796,-1.579339425,-1.451731805,-1.180942869,-1.310244029,-1.100894074,-0.865185625,-1.017868761
131,11/6/2008,-0.922059015,-1.308595867,-1.770947704,-1.53305868,-1.227361411,-1.406154693,-1.269966081,-1.073853054,-1.301814343
132,11/9/2008,-0.868535349,-1.307707462,-1.787216758,-1.622054603,-1.344906628,-0.051747535,-1.36548607,-1.06463875,-1.289815461
133,11/10/2008,-0.857041988,-1.508719257,-1.945864691,-1.732442511,-1.517315047,-1.160449853,-1.307758044,-1.013213643,-1.336071009
134,11/11/2008,-0.793640879,-1.418420983,-1.771410981,-1.556033939,-1.21510829,-0.902279744,-1.169101916,-0.879855702,-1.117622211
135,11/12/2008,-0.655519692,-1.240097878,-1.716881812,-1.248482114,-1.075915608,-0.778340235,-1.058058065,-0.652595443,-0.92280021
136,11/13/2008,-0.846244459,-1.289482103,-1.677246055,-1.479130768,-1.224281453,-0.044608111,-1.139145228,-0.922918784,-1.12784502
137,11/16/2008,-0.940868342,-1.321578884,-1.817290797,-1.602579322,-1.418995487,-0.180393818,-1.31052302,-1.028974894,-1.401669959
138,11/17/2008,-1.099026656,-1.444013322,-2.126088595,-1.707909869,-1.661114598,-1.501839472,-1.278685737,-1.184777673,-1.197216396
139,11/18/2008,-1.053857057,-1.610085914,-1.968299095,-1.524278337,-1.452382459,-1.676288409,-1.268301269,-1.14249225,-1.249494499
140,11/19/2008,-0.768578603,-1.328619984,-1.826478685,-1.664504772,-1.664846287,-0.497453487,-1.38500871,-0.882660867,-1.263664048
141,11/20/2008,-0.774162228,-1.52044267,-1.647016108,-1.534537056,-1.48156303,-0.736869888,-1.075592787,-0.842637466,-0.947805911
142,11/23/2008,-0.92828691,-1.217094286,-1.690736983,-1.599626768,-1.441145896,-0.526427309,-0.940255865,-1.020190261,-0.909922588
143,11/24/2008,-0.687987981,-1.290490645,-1.603630749,-1.423819136,-1.284558432,-0.402932551,-1.027775516,-0.719119151,-0.81132424
144,11/25/2008,-1.175487258,-1.469257544,-1.830513452,-1.667008708,-1.42975613,-0.496431403,-1.227887932,-1.195136986,-1.190306711
