,Volatility_Time,Volatility_Time.1,Volatility_Time.2,Volatility_Time.3,Volatility_Time.4,Volatility_Time.5,Volatility_Time.6
41,-7.230002384934459,-14.308612432061413,-13.156624691900603,-7.268026720315297,-11.9825772951676,-10.980154987292726,-9.724675739863748
42,-12.081078289525069,-8.540285448199544,-10.396193993047758,-16.736060192419547,-8.819450735494323,-16.091710035239352,-10.46349548547095
43,-6.546883609131318,-8.624904755248608,-10.722667758816945,-7.864671718077579,-8.439916728733285,-6.67148438583052,-10.649426493911646
44,-7.583554079693901,-13.267596358680223,-8.746350543763027,-7.870342193315661,-7.89162954270672,-7.850402475123078,-9.466941656853058
45,-8.782733214740983,-11.921684784737016,-10.18779628318355,-9.815241551108501,-8.150551300405581,-8.50594319975356,-9.22391456235995
46,-7.5875669002071975,-8.300538414477009,-9.633812079334064,-7.623089552980157,-9.77039305037544,-13.82738130738787,-8.025948162085049
47,-8.355302813522131,-9.749822797700352,-9.518323646069115,-18.166901070226295,-11.467493044393894,-7.934792054015304,-9.405755550728678
48,-9.550130171288544,-12.564082266557115,-10.603879555643562,-12.69818368699108,-8.67067438167666,-9.262320688259283,-8.614441529294053
49,-8.556001616468874,-7.391727011531868,-9.738802378556144,-9.655771480402873,-8.752884668765903,-9.253861472476059,-10.109912017901994
50,-10.141503509546288,-16.332726542924036,-9.134340032882834,-10.027007051905361,-10.54308980440215,-7.75148106356857,-9.405660861566364
51,-9.483261925362127,-9.23337516992592,-10.40649723255822,-11.46065338361212,-10.163286273149389,-8.315248749550296,-10.536771919537584
52,-7.85087909032254,-10.107695027032648,-7.169263628131133,-7.1965454554125765,-6.938699248271451,-6.761379448575513,-9.539729318530398
53,-7.4295701794021065,-7.23077391539137,-7.0374654073250875,-7.260524803449915,-8.734037933348576,-7.265673756303058,-7.822448972805825
54,-14.734022511404499,-10.87606060985799,-9.033931372032228,-12.414957649828244,-8.288808554600267,-12.511404298656776,-12.124285553505146
55,-8.273309527424418,-13.430494676514842,-7.2981692427943745,-7.457370488199153,-9.18667814668698,-7.22380591894977,-7.081170835239137
56,-7.605711428915549,-8.38694263851437,-7.614818187925142,-7.954558834234307,-7.697056390630859,-7.981874592858541,-11.15358810774943
57,-9.49232948461998,-10.078614854531956,-7.759572251025134,-10.244099302482933,-8.980194817558209,-9.487843372238627,-8.010000584668576
58,-9.3562018951846,-10.470788348752485,-10.274117928174197,-11.249734933823538,-14.652489493663307,-7.187361263417219,-8.372994341689079
59,-11.360680199993883,-11.186942427210392,-9.967977751136857,-9.523865700995437,-11.877628390260044,-12.273853473047797,-10.298248937348788
60,-5.966823939561192,-8.806975733560368,-8.857106867369604,-9.378550865798982,-7.536269958448042,-8.00767932384356,-6.750568573647681
61,-7.23777034110059,-8.489220688796074,-9.496237264378953,-7.921478186129788,-8.438499872167803,-7.670443284444999,-7.1999399298400775
62,-10.631524164803132,-16.998222729155305,-8.373347635793762,-8.263623115500724,-11.559698774755176,-9.914362134416791,-12.191918732658294
63,-9.513216982359129,-11.090175658850912,-7.118303066271115,-7.704029135202398,-7.9348568101911585,-8.381939160251006,-11.826089920112247
64,-10.695450282025922,-15.544980158046966,-13.60778186585011,-13.081281395241556,-11.037599915240635,-9.099811824424986,-10.818222121150216
65,-11.353073488283977,-8.78828735568031,-9.454826290737369,-7.8135173117102195,-11.805708111575047,-10.651698315374116,-11.619739422368932
66,-12.83824091788652,-9.359474205136742,-9.213438730210688,-10.492696571692633,-8.773210367615388,-7.984788745330348,-10.093018999830623
67,-10.676058956943496,-8.927316072478604,-12.155670984060706,-12.159254705403804,-9.489291501054439,-11.951910615425685,-10.552910956960597
68,-7.818303409543492,-10.198611334610955,-10.977684405534328,-11.140142225324281,-10.023376540283738,-10.184073221881395,-8.41119688224448
69,-5.879117048969393,-13.4142573499642,-11.02988452080082,-18.315938952669153,-11.828059748555182,-11.115798327169214,-10.796526737296167
70,-6.257976109021414,-8.344152260239378,-7.690562313611378,-7.966979312646316,-12.277370543289937,-7.961357666172121,-7.837425115599568
71,-10.610461750835047,-10.697976010682362,-7.630768307537115,-10.206460299332552,-15.038702543851148,-7.582064850739712,-7.2324291754166525
72,-12.29308883803338,-9.033614757884978,-7.099764994338412,-7.534532227957121,-9.332340613281481,-6.926883822763578,-11.03363312189776
73,-8.869162339711636,-9.61301948125262,-8.615886008826415,-8.669541392663238,-8.617430483146101,-9.102041765080461,-9.082032408247521
