,pap_lnSE
105,-9.161996997851706
106,-10.989047761220654
107,-9.39840857662686
108,-16.944699692126726
109,-11.804298857134357
110,-10.180448769786407
111,-7.81608994794084
112,-12.482228314299531
113,-8.159469881623183
114,-10.078589938000356
115,-8.910616917012698
116,-9.454719474013782
117,-11.643712295908285
118,-14.318709093453359
119,-8.65667511504911
120,-8.008696037271223
121,-9.319256304893685
122,-8.23376436646938
123,-9.085106993010259
124,-9.79495602393973
125,-16.97561903561821
126,-10.54729568924983
127,-10.657647685615096
128,-11.318400553240487
129,-9.655717123397652
130,-9.737692775508613
131,-11.367336200115924
132,-8.429088064260737
133,-10.12920016294984
134,-10.539303034140731
135,-9.101179988331864
136,-12.09488973839713
137,-8.034347413685522
138,-7.358757544282303
139,-7.974996206087184
140,-9.205729906866768
141,-12.962560885441508
142,-12.734692631192411
143,-8.985494157024943
144,-11.544167433827917
145,-8.679168737913292
146,-11.271660240640603
147,-7.277928983264274
148,-8.766832378604237
149,-7.881443298076883
150,-9.195428671721016
151,-12.102560028419768
152,-7.055171822256786
153,-6.901163521380416
154,-10.164695311352313
155,-10.331437441051635
156,-8.77342606580084
157,-10.321877338025034
158,-8.52055851517775
159,-8.1004451499585
160,-8.391873410599013
161,-9.840454631405967
162,-7.346518087712248
163,-8.047133815929199
164,-8.1527942804414
165,-8.008324930836975
166,-22.717893302661025
167,-8.241420133374085
168,-9.641087431140264
169,-8.033394329597456
170,-7.630262685859718
171,-8.00532154734957
172,-6.868887863734961
173,-7.3416912852952985
174,-7.22885669120768
175,-9.254545131451952
176,-6.703080636233003
177,-8.322891630128673
178,-11.49047415135667
179,-9.906239445218837
180,-10.255376266581964
181,-11.981612565628435
182,-10.737178149618849
183,-7.87204727847684
184,-9.8748536005584
185,-9.859285710357206
186,-9.582569268957458
187,-11.296630602753895
188,-10.421615616229378
189,-10.939187190230088
190,-10.382111675819147
191,-9.800802598909247
192,-8.868324464946914
193,-8.24212714260973
194,-9.860783419364813
195,-12.139923328295765
196,-7.593544158639404
197,-7.854079149719298
198,-11.510866950949673
199,-8.805806211736163
200,-9.35302269609931
201,-13.419342665509756
202,-12.041813845949962
203,-10.6576117602574
204,-14.202778724469706
205,-9.687631143629716
206,-11.643868403846007
207,-9.076488437657328
208,-11.184318452732722
209,-13.963387134826313
210,-7.489083213344592
211,-8.95946313745824
212,-10.906530202662362
213,-8.795524932495416
214,-8.637538703019812
215,-11.341593768314242
216,-13.328864151539275
217,-7.685259599421759
218,-7.984817671414878
219,-14.212524240336043
220,-9.2001960030933
221,-13.811344050744314
222,-11.58910209999974
223,-8.080597575986268
224,-9.813427951330102
225,-11.4539838030384
226,-6.683781946503173
227,-8.194104857630272
228,-9.843604905492171
229,-9.852336583520499
230,-9.628391894881938
231,-11.200610223331914
232,-10.431987237909022
233,-9.548682119664235
234,-8.263827208360809
235,-10.995842920681481
236,-11.30478927731855
237,-11.4916247787139
238,-11.623645712956531
239,-9.160349894392061
240,-10.975221936435664
241,-13.638695433061104
242,-9.052033324560323
243,-7.943832584773158
244,-8.856317267865304
245,-11.907303508299528
246,-15.65145127658748
247,-10.846271058907856
248,-9.640700811226
249,-7.457772260773166
250,-8.439532392731186
251,-9.163362404338386
252,-8.55415236840218
253,-10.566858141441442
254,-6.855171792774214
255,-9.742726448350949
256,-7.687109583430414
257,-9.16189627957844
258,-6.674049495130508
259,-12.780687983594639
260,-8.46318294436651
261,-10.947902785799796
262,-8.12163942333078
263,-8.590240241392966
264,-10.302455439269169
265,-6.92503901400536
266,-8.211981987183767
267,-14.82382495121879
268,-8.92419833829772
269,-9.974053872907389
270,-8.9835022444795
271,-10.61329257236001
272,-10.118062125235829
273,-8.2710667798053
274,-9.639728091942983
275,-11.707149439660466
276,-12.001021860720256
277,-11.376921773648085
278,-9.971534006112064
279,-14.766041703279878
280,-13.942066542615358
281,-12.374197485809162
282,-13.241581209242263
283,-12.171188654561593
284,-9.301711270438972
285,-8.095956986563102
286,-11.085340607264243
287,-8.163708137994343
288,-8.142592153753561
289,-10.64875744165584
290,-14.89897560975897
291,-10.900918541611514
292,-11.561675518963641
293,-9.46841362943074
294,-8.649516263847145
295,-13.05902891690736
296,-9.712315048343081
297,-10.306939630707841
298,-12.98742189523101
299,-12.768223280219726
300,-10.214951676713012
301,-14.038827540549903
302,-12.382835847139136
303,-7.243508752845361
304,-7.4048041287449715
305,-7.575408429627286
306,-7.609637403033648
307,-7.783666498303325
308,-7.184903449534464
309,-11.118636864318391
310,-10.789391977943847
311,-9.193963066724798
312,-13.07177990188803
313,-9.709524652858514
314,-9.965569311564456
315,-12.571364507247907
316,-10.309256155055166
317,-13.716408982346314
318,-9.085102164065633
319,-8.878455179517498
320,-7.886719542004114
321,-7.336858877617821
322,-9.344048836208367
323,-8.419534997279865
324,-9.531605258269517
325,-11.259380694486367
326,-13.022756437074168
327,-11.096621771701297
328,-10.336515209837323
329,-10.856681112656146
330,-10.35760768546728
331,-10.009730692180334
332,-8.009337191547282
333,-8.935443665299228
334,-10.977779899363332
335,-11.750308173109492
336,-15.62885134428917
337,-10.97000796869677
338,-9.055822617013968
339,-9.232355762740065
340,-10.600962460849102
341,-9.801997083704723
342,-11.11541670256529
343,-9.805243049608299
344,-9.06103324745158
345,-7.747503833720751
346,-8.330981869906992
347,-9.714886043164135
348,-7.479739529312474
349,-13.168425030543288
350,-6.7057236106547995
351,-7.0318054309237095
352,-7.105531683536359
353,-6.758507892121879
354,-14.62126233179694
355,-10.771151803929177
356,-9.763965545485615
357,-12.112721950434942
358,-11.636529291596746
359,-9.739189316475997
360,-10.705504196816857
361,-14.689920446249241
362,-9.56471240589478
363,-13.156757123217472
364,-11.54661325138705
365,-10.547821025103183
366,-12.191602397620676
367,-7.1393273569403215
368,-7.171612301112661
369,-8.524565384776894
370,-8.912261608025132
371,-6.140918467415835
372,-6.245203887667028
373,-11.693697058784405
374,-9.39748760470623
375,-9.204566384442987
376,-10.959736113269313
377,-7.932740185636958
378,-13.585919924095064
379,-10.649234583610221
380,-7.894743398439813
381,-9.678768068814268
382,-13.853893381566175
383,-14.415285394465519
384,-11.452771844656791
385,-11.33618161695409
386,-9.73760964023652
387,-11.663063371624835
388,-11.232062441883258
389,-7.900698689155824
