,pap_lnSE
111,-8.180958521344593
112,-8.975629107369574
113,-10.961218944965124
114,-7.189781317321893
115,-9.75807822963374
116,-7.338174408016953
117,-7.067356817129883
118,-10.302182180407556
119,-8.283099499659926
120,-14.334068275501895
121,-8.928067804235392
122,-8.094105470028444
123,-8.911018706125098
124,-9.117210666755287
125,-8.934324214227443
126,-8.905800684533023
127,-10.781597858199415
128,-7.86750578457052
129,-5.430309997246068
130,-5.957929172325133
131,-15.514916434425453
132,-13.74944957692435
133,-8.460284898819927
134,-16.129884196223685
135,-8.832316183794925
136,-8.962490650199838
137,-8.519659525096754
138,-9.799467915184035
139,-8.657017918522916
140,-10.33892940567054
141,-9.46091824536104
142,-8.636324847606991
143,-7.389139828336502
144,-11.168230607913006
145,-8.061241100382192
146,-8.62104757957365
147,-6.482248786511887
148,-9.16012575388262
149,-7.637056982454174
150,-9.678841934277033
151,-9.254990189472753
152,-7.354686664353518
153,-6.957318819634175
154,-7.907183911781438
155,-9.059857866605181
156,-6.317047361277685
157,-5.5993932533896755
158,-10.366593429862139
159,-8.775047387980573
160,-7.6355363371532805
161,-14.715431476460717
162,-12.31563877616679
163,-7.799288565659001
164,-6.896245563884933
165,-7.240239973736019
166,-13.145741614141809
167,-7.3680884612460655
168,-10.497645337111965
169,-7.484869843277618
170,-7.352710092345554
171,-8.233188217948605
172,-6.40701189477283
173,-5.971365511807531
174,-9.212629575052448
175,-8.736902726790047
176,-6.446554218595434
177,-8.528113645508274
178,-9.847945095077442
179,-10.295831149839875
180,-11.782861743349818
181,-7.706215880020045
182,-7.6135523301640555
183,-8.19896105632887
184,-8.80220656203752
185,-10.304560673646748
186,-11.495000906347684
187,-11.355981368216707
188,-9.55303591614502
189,-7.932254685888666
190,-9.337705027553818
191,-10.241568962280173
192,-16.424478030802824
193,-7.094006293668529
194,-10.26731372596656
195,-6.700112128644077
196,-7.689048679266247
197,-5.607429015369319
198,-9.232244297101857
199,-11.888139559498034
200,-12.481483577707944
201,-9.271455455875087
202,-10.96539166398156
203,-9.992595726449979
204,-12.234971601055694
205,-11.211837167888085
206,-12.80277963982791
207,-8.679627847945136
208,-9.028666223148491
209,-11.121065626398465
210,-6.683219224563985
211,-8.487066339239657
212,-10.059129996323959
213,-13.536941000440105
214,-8.226429113761274
215,-11.060777271178479
216,-10.092069973073832
217,-6.518645848306577
218,-7.391835627630251
219,-11.762253763403569
220,-14.084886371898081
221,-10.716697764019184
222,-8.188644394115384
223,-9.195634157281887
224,-9.364866261104396
225,-8.459204790453914
226,-7.587958727234916
227,-8.174522239718296
