,lr_lnSE
207,-9.411394063861177
208,-9.431966788457142
209,-12.133031809522945
210,-6.784450760393377
211,-16.658170654454768
212,-9.78313857545931
213,-12.418862063657434
214,-8.203537149839736
215,-8.446073499981031
216,-17.904168257550236
217,-6.691001282729266
218,-8.861390188896594
219,-11.644798909231822
220,-17.565788353570742
221,-12.293095140807605
222,-8.007465149563883
223,-10.971123485917696
224,-9.3780982883545
225,-10.058469901085129
226,-7.506380911367795
227,-10.197947822337197
228,-9.160332591241504
229,-10.174496031418034
230,-11.39564798617625
231,-9.528622461054683
232,-12.446781237601355
233,-7.819482231270287
234,-9.632744268204728
235,-10.353539635038514
236,-9.08900350879842
237,-12.469730325680244
238,-12.173772541139856
239,-9.152019835512665
240,-8.252352183724208
241,-9.291080220438527
242,-8.215426303901161
243,-9.423417906510833
244,-10.247805137727374
245,-10.86439491490828
246,-11.497929430455633
247,-15.75376807664435
248,-9.237808799946501
249,-7.895150942105563
250,-12.467209189107615
251,-11.159651285872508
252,-8.385784443418153
253,-11.356387942404025
254,-11.247738643971298
255,-9.268730844797046
256,-9.734555144310072
257,-8.93628978202538
258,-7.610513706211595
259,-8.282093966490265
260,-11.898699199422495
261,-12.395451320551926
262,-12.803487830179424
263,-8.640162397143877
264,-7.258665048648587
265,-11.24984498434933
266,-9.921973832810254
267,-10.925213887270917
268,-7.554799764733047
269,-10.898631674945502
270,-11.825279845668975
271,-10.248982644706146
272,-11.270729776849741
273,-8.429884293046454
274,-9.747556480333277
275,-8.080431981874634
276,-8.125850874001708
277,-9.754077350809156
278,-10.559921853452451
279,-10.548865923025728
280,-13.691035526864143
281,-9.977335727505652
282,-12.816822968656707
283,-10.986601276680053
284,-12.046150825453731
285,-8.9250002492386
286,-9.615376982144438
287,-7.758831993501474
288,-8.121426723959612
289,-10.036908232892609
290,-9.902585239439777
291,-9.485154430847949
292,-13.365715289811476
293,-13.208213308319731
294,-10.414559753943845
295,-11.337116500671407
296,-12.423176730515237
297,-9.44805420679937
298,-8.111678096738594
299,-6.367784900256473
300,-9.382684041611787
301,-9.457077474735032
302,-10.041110692808745
303,-8.502004280052065
304,-7.1247708269060475
305,-6.9504549499191866
306,-10.215170709981937
307,-14.348422904119175
308,-8.879597880179404
309,-11.075712277230286
310,-10.76509611669245
311,-15.350663107319454
312,-8.703171908535674
313,-12.081906255899442
314,-12.865333101354716
315,-9.885948010897321
316,-9.664385787740983
317,-9.802743045680453
318,-7.620238924465226
319,-8.879128228190245
320,-9.81417687989259
321,-10.592009442002896
322,-13.196771370920422
323,-9.782314925163966
324,-11.912656632362705
325,-10.771165125545332
326,-11.508910626222239
327,-7.110987143857794
328,-7.644763303909813
329,-9.57069618798863
330,-17.451314308310447
331,-9.228893510670856
332,-10.157768067292347
333,-10.580419885939287
334,-11.065121770863952
335,-10.399917095428556
336,-9.05289618684477
337,-14.522647587291413
338,-8.029478734960891
339,-12.614286187578752
340,-9.247616029206466
341,-10.140819745249496
342,-8.419151126598548
343,-13.70959847983171
344,-10.604051511189535
345,-11.811699170397958
346,-10.755036977579918
347,-8.634431789676851
348,-9.49387606641396
349,-12.538885981531193
350,-8.177482534677331
351,-12.014886919775437
352,-8.645476443982488
353,-7.131066429876079
354,-10.374088099443707
355,-10.76877411030052
356,-6.3149375219266
357,-6.882919905005607
358,-16.278067045883827
359,-9.225741086153187
360,-10.863651735460937
361,-9.539420945316476
362,-7.86247392386145
363,-11.95044574884141
364,-9.140139909749111
365,-9.302652284826769
366,-11.177436789418826
367,-7.9302474589514915
368,-12.507360923296623
369,-9.634060372966182
370,-9.860966022049988
371,-7.441687257503428
372,-10.642157583427487
373,-10.467785474890116
374,-15.63614189082846
375,-10.346541727797268
376,-10.840644122281551
377,-10.625573589415946
378,-6.280410181921751
379,-10.66545269887921
380,-11.236765621610669
381,-11.292027788712138
382,-8.629395090584746
383,-10.332608658714808
384,-11.458003864636442
385,-9.150858278462868
386,-7.762201801036354
387,-9.539727375456456
388,-8.361628758168257
389,-12.687999185014638
390,-8.037145003678269
