,0,1,2,3,4,5,6,7,8
13,-2.5921169727917,-2.589950371911935,-2.678557008861745,-3.0089557262707896,-2.950101839425422,-2.5333012964184665,-2.445920310312611,-2.4664046296360733,-2.2495687966982176
14,-2.3277200398699125,-2.2478270646743055,-2.3399160658044895,-2.5119129122231225,-2.5242484176574256,-2.070503752940435,-2.243840636182673,-2.0376597789204594,-2.0635784435283386
15,-2.29162402248983,-2.464162826536826,-2.1309970576998323,-2.3929528457445954,-2.572276772264306,-1.7983629774449752,-2.1041937754391498,-2.025639662911833,-2.0578369463006596
16,-2.120989452624836,-2.3396813136070476,-2.1075259981066083,-2.4248973989152907,-2.5437942273218836,-1.9022584842813182,-2.080176986524454,-2.1020957427626326,-2.074964502313952
17,-2.2660581546208896,-2.121565131040962,-2.1921152108584914,-2.417610740747842,-2.6102423042119214,-1.9728196719013693,-1.969349006730935,-2.13489953133508,-2.0053811187417425
18,-2.200610238448047,-2.349783839296812,-2.1180153563026947,-2.492079757179968,-2.412497217927049,-1.7795573160005353,-2.306843218356817,-2.135770048597633,-2.074259374774687
19,-2.0908201100218875,-2.2287193270025356,-1.7865926754614112,-2.2334285922058412,-2.460684356655253,-1.754131160531629,-1.9664468959123478,-2.1225249617584163,-1.8280162962941835
20,-1.9901600986599544,-2.2422994855334375,-2.0131600251980575,-2.4479063186296908,-2.5581899648163917,-1.770082132924866,-2.1211727847240183,-2.1321753376579387,-2.0321019924591077
21,-2.068496114355085,-2.067841767924423,-1.8912378607785838,-2.1010460376953284,-2.546577064205819,-1.8255179274601752,-1.9631003912204377,-1.5310665012317015,-2.017824857431003
22,-2.0809216308847494,-2.2872133102940597,-1.8581516621222065,-2.0525473858481478,-2.2344863867985736,-1.8487564463565827,-1.9201444560835188,-2.0990899693586487,-1.9038074814316337
23,-2.1814942143490015,-2.332449123344887,-1.8860394106214393,-2.1825819565947433,-2.476313380259015,-1.7057122116782226,-2.0066488390848005,-2.0318623323619645,-2.0239600633220487
24,-1.9414574179418889,-1.8307076647583667,-1.9770642543013153,-2.152461714059109,-2.4618403929787007,-1.779598267018846,-1.8586124069323298,-1.7866359973718478,-1.8873175363133214
25,-2.2529730120637366,-2.2240336165019436,-2.0665764058615848,-2.301255363659721,-2.4412224296774006,-1.839013213500094,-2.1144367538649256,-2.070936863772224,-1.9697251913762515
26,-1.9203137954213718,-2.3196849664853767,-2.042991596024662,-2.2991027849631505,-2.537897275354879,-1.9698091914649019,-1.9255286936232594,-2.130747856946746,-1.9398446319474403
27,-2.1537659332542503,-2.5060386281527722,-1.994628588768902,-2.235513247344768,-2.40060939770964,-1.8742645484399665,-1.9584846350011196,-1.9464764952281692,-1.9252662381801273
28,-2.4174202375630256,-2.352779140019242,-2.14214612563135,-2.3800629698246354,-2.573416205525663,-1.9527403935079706,-2.1039491155523007,-2.1035557138121446,-2.028093164646584
29,-2.2679648468886286,-2.232096216536718,-2.1702167007413213,-2.38480884727078,-2.5311670862797877,-1.9563825491900084,-2.0835378750963045,-2.127487102079282,-1.980602485349707
30,-2.480742401657818,-2.519285156779615,-2.436401139450381,-2.6559220717006617,-2.714761257949366,-1.979552343222737,-2.425296128314341,-2.115232145202325,-2.1157871356265083
31,-2.411625274868227,-2.2455027257691027,-2.1537522668683025,-2.4847949118002464,-2.419604159468514,-2.105019843525652,-2.2686814267125572,-2.113364327683605,-2.0469664500766163
32,-2.4055560000670244,-2.2895241565055007,-2.2650810817212306,-2.634460961784586,-2.6820442083380174,-2.107190001510493,-2.311702500488441,-2.0631394677542723,-2.194711709629089
33,-2.3977354182698667,-2.409279750794502,-2.164351844353641,-2.570386121006951,-2.689512140862598,-1.982774376849676,-2.1641340453802664,-2.2405115621230425,-2.138875242529593
