,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
14,-2.200610238448047,-2.2660581546208896,-2.120989452624836,-2.29162402248983,-2.3277200398699125,-2.349783839296812,-2.121565131040962,-2.3396813136070476,-2.464162826536826,-2.2478270646743055,-2.1180153563026947,-2.1921152108584914,-2.1075259981066083,-2.1309970576998323,-2.3399160658044895,-2.492079757179968,-2.417610740747842,-2.4248973989152907,-2.3929528457445954,-2.5119129122231225,-2.412497217927049,-2.6102423042119214,-2.5437942273218836,-2.572276772264306,-2.5242484176574256,-1.7795573160005353,-1.9728196719013693,-1.9022584842813182,-1.7983629774449752,-2.070503752940435,-2.306843218356817,-1.969349006730935,-2.080176986524454,-2.1041937754391498,-2.243840636182673,-2.135770048597633,-2.13489953133508,-2.1020957427626326,-2.025639662911833,-2.0376597789204594,-2.074259374774687,-2.0053811187417425,-2.074964502313952,-2.0578369463006596,-2.0635784435283386
15,-2.0908201100218875,-2.200610238448047,-2.2660581546208896,-2.120989452624836,-2.29162402248983,-2.2287193270025356,-2.349783839296812,-2.121565131040962,-2.3396813136070476,-2.464162826536826,-1.7865926754614112,-2.1180153563026947,-2.1921152108584914,-2.1075259981066083,-2.1309970576998323,-2.2334285922058412,-2.492079757179968,-2.417610740747842,-2.4248973989152907,-2.3929528457445954,-2.460684356655253,-2.412497217927049,-2.6102423042119214,-2.5437942273218836,-2.572276772264306,-1.754131160531629,-1.7795573160005353,-1.9728196719013693,-1.9022584842813182,-1.7983629774449752,-1.9664468959123478,-2.306843218356817,-1.969349006730935,-2.080176986524454,-2.1041937754391498,-2.1225249617584163,-2.135770048597633,-2.13489953133508,-2.1020957427626326,-2.025639662911833,-1.8280162962941835,-2.074259374774687,-2.0053811187417425,-2.074964502313952,-2.0578369463006596
16,-1.9901600986599544,-2.0908201100218875,-2.200610238448047,-2.2660581546208896,-2.120989452624836,-2.2422994855334375,-2.2287193270025356,-2.349783839296812,-2.121565131040962,-2.3396813136070476,-2.0131600251980575,-1.7865926754614112,-2.1180153563026947,-2.1921152108584914,-2.1075259981066083,-2.4479063186296908,-2.2334285922058412,-2.492079757179968,-2.417610740747842,-2.4248973989152907,-2.5581899648163917,-2.460684356655253,-2.412497217927049,-2.6102423042119214,-2.5437942273218836,-1.770082132924866,-1.754131160531629,-1.7795573160005353,-1.9728196719013693,-1.9022584842813182,-2.1211727847240183,-1.9664468959123478,-2.306843218356817,-1.969349006730935,-2.080176986524454,-2.1321753376579387,-2.1225249617584163,-2.135770048597633,-2.13489953133508,-2.1020957427626326,-2.0321019924591077,-1.8280162962941835,-2.074259374774687,-2.0053811187417425,-2.074964502313952
17,-2.068496114355085,-1.9901600986599544,-2.0908201100218875,-2.200610238448047,-2.2660581546208896,-2.067841767924423,-2.2422994855334375,-2.2287193270025356,-2.349783839296812,-2.121565131040962,-1.8912378607785838,-2.0131600251980575,-1.7865926754614112,-2.1180153563026947,-2.1921152108584914,-2.1010460376953284,-2.4479063186296908,-2.2334285922058412,-2.492079757179968,-2.417610740747842,-2.546577064205819,-2.5581899648163917,-2.460684356655253,-2.412497217927049,-2.6102423042119214,-1.8255179274601752,-1.770082132924866,-1.754131160531629,-1.7795573160005353,-1.9728196719013693,-1.9631003912204377,-2.1211727847240183,-1.9664468959123478,-2.306843218356817,-1.969349006730935,-1.5310665012317015,-2.1321753376579387,-2.1225249617584163,-2.135770048597633,-2.13489953133508,-2.017824857431003,-2.0321019924591077,-1.8280162962941835,-2.074259374774687,-2.0053811187417425
18,-2.0809216308847494,-2.068496114355085,-1.9901600986599544,-2.0908201100218875,-2.200610238448047,-2.2872133102940597,-2.067841767924423,-2.2422994855334375,-2.2287193270025356,-2.349783839296812,-1.8581516621222065,-1.8912378607785838,-2.0131600251980575,-1.7865926754614112,-2.1180153563026947,-2.0525473858481478,-2.1010460376953284,-2.4479063186296908,-2.2334285922058412,-2.492079757179968,-2.2344863867985736,-2.546577064205819,-2.5581899648163917,-2.460684356655253,-2.412497217927049,-1.8487564463565827,-1.8255179274601752,-1.770082132924866,-1.754131160531629,-1.7795573160005353,-1.9201444560835188,-1.9631003912204377,-2.1211727847240183,-1.9664468959123478,-2.306843218356817,-2.0990899693586487,-1.5310665012317015,-2.1321753376579387,-2.1225249617584163,-2.135770048597633,-1.9038074814316337,-2.017824857431003,-2.0321019924591077,-1.8280162962941835,-2.074259374774687
19,-2.1814942143490015,-2.0809216308847494,-2.068496114355085,-1.9901600986599544,-2.0908201100218875,-2.332449123344887,-2.2872133102940597,-2.067841767924423,-2.2422994855334375,-2.2287193270025356,-1.8860394106214393,-1.8581516621222065,-1.8912378607785838,-2.0131600251980575,-1.7865926754614112,-2.1825819565947433,-2.0525473858481478,-2.1010460376953284,-2.4479063186296908,-2.2334285922058412,-2.476313380259015,-2.2344863867985736,-2.546577064205819,-2.5581899648163917,-2.460684356655253,-1.7057122116782226,-1.8487564463565827,-1.8255179274601752,-1.770082132924866,-1.754131160531629,-2.0066488390848005,-1.9201444560835188,-1.9631003912204377,-2.1211727847240183,-1.9664468959123478,-2.0318623323619645,-2.0990899693586487,-1.5310665012317015,-2.1321753376579387,-2.1225249617584163,-2.0239600633220487,-1.9038074814316337,-2.017824857431003,-2.0321019924591077,-1.8280162962941835
20,-1.9414574179418889,-2.1814942143490015,-2.0809216308847494,-2.068496114355085,-1.9901600986599544,-1.8307076647583667,-2.332449123344887,-2.2872133102940597,-2.067841767924423,-2.2422994855334375,-1.9770642543013153,-1.8860394106214393,-1.8581516621222065,-1.8912378607785838,-2.0131600251980575,-2.152461714059109,-2.1825819565947433,-2.0525473858481478,-2.1010460376953284,-2.4479063186296908,-2.4618403929787007,-2.476313380259015,-2.2344863867985736,-2.546577064205819,-2.5581899648163917,-1.779598267018846,-1.7057122116782226,-1.8487564463565827,-1.8255179274601752,-1.770082132924866,-1.8586124069323298,-2.0066488390848005,-1.9201444560835188,-1.9631003912204377,-2.1211727847240183,-1.7866359973718478,-2.0318623323619645,-2.0990899693586487,-1.5310665012317015,-2.1321753376579387,-1.8873175363133214,-2.0239600633220487,-1.9038074814316337,-2.017824857431003,-2.0321019924591077
21,-2.2529730120637366,-1.9414574179418889,-2.1814942143490015,-2.0809216308847494,-2.068496114355085,-2.2240336165019436,-1.8307076647583667,-2.332449123344887,-2.2872133102940597,-2.067841767924423,-2.0665764058615848,-1.9770642543013153,-1.8860394106214393,-1.8581516621222065,-1.8912378607785838,-2.301255363659721,-2.152461714059109,-2.1825819565947433,-2.0525473858481478,-2.1010460376953284,-2.4412224296774006,-2.4618403929787007,-2.476313380259015,-2.2344863867985736,-2.546577064205819,-1.839013213500094,-1.779598267018846,-1.7057122116782226,-1.8487564463565827,-1.8255179274601752,-2.1144367538649256,-1.8586124069323298,-2.0066488390848005,-1.9201444560835188,-1.9631003912204377,-2.070936863772224,-1.7866359973718478,-2.0318623323619645,-2.0990899693586487,-1.5310665012317015,-1.9697251913762515,-1.8873175363133214,-2.0239600633220487,-1.9038074814316337,-2.017824857431003
22,-1.9203137954213718,-2.2529730120637366,-1.9414574179418889,-2.1814942143490015,-2.0809216308847494,-2.3196849664853767,-2.2240336165019436,-1.8307076647583667,-2.332449123344887,-2.2872133102940597,-2.042991596024662,-2.0665764058615848,-1.9770642543013153,-1.8860394106214393,-1.8581516621222065,-2.2991027849631505,-2.301255363659721,-2.152461714059109,-2.1825819565947433,-2.0525473858481478,-2.537897275354879,-2.4412224296774006,-2.4618403929787007,-2.476313380259015,-2.2344863867985736,-1.9698091914649019,-1.839013213500094,-1.779598267018846,-1.7057122116782226,-1.8487564463565827,-1.9255286936232594,-2.1144367538649256,-1.8586124069323298,-2.0066488390848005,-1.9201444560835188,-2.130747856946746,-2.070936863772224,-1.7866359973718478,-2.0318623323619645,-2.0990899693586487,-1.9398446319474403,-1.9697251913762515,-1.8873175363133214,-2.0239600633220487,-1.9038074814316337
23,-2.1537659332542503,-1.9203137954213718,-2.2529730120637366,-1.9414574179418889,-2.1814942143490015,-2.5060386281527722,-2.3196849664853767,-2.2240336165019436,-1.8307076647583667,-2.332449123344887,-1.994628588768902,-2.042991596024662,-2.0665764058615848,-1.9770642543013153,-1.8860394106214393,-2.235513247344768,-2.2991027849631505,-2.301255363659721,-2.152461714059109,-2.1825819565947433,-2.40060939770964,-2.537897275354879,-2.4412224296774006,-2.4618403929787007,-2.476313380259015,-1.8742645484399665,-1.9698091914649019,-1.839013213500094,-1.779598267018846,-1.7057122116782226,-1.9584846350011196,-1.9255286936232594,-2.1144367538649256,-1.8586124069323298,-2.0066488390848005,-1.9464764952281692,-2.130747856946746,-2.070936863772224,-1.7866359973718478,-2.0318623323619645,-1.9252662381801273,-1.9398446319474403,-1.9697251913762515,-1.8873175363133214,-2.0239600633220487
