,pap_PredVol
127,0.0740772594648
128,0.0774823351612
129,0.0545629042986
130,0.0767379273474
131,0.0811861708212
132,0.0728235586213
133,0.0641070662143
134,0.098189809437
135,0.0799020081706
136,0.0885892242583
137,0.0731823526439
138,0.0732132615788
139,0.0692606324396
140,0.0901489164071
141,0.0985916679505
142,0.0868690695185
143,0.10172526317
144,0.089916830606
145,0.0870058509449
146,0.106999340035
147,0.11450272441
148,0.102421269118
149,0.0803647499279
150,0.0885035732002
151,0.0955577342274
152,0.100179443321
153,0.128620116134
154,0.0980025409247
155,0.0929017110033
156,0.105896822418
157,0.110847693451
158,0.0942679913241
159,0.193212263527
160,0.117553020629
161,0.0914243353396
162,0.0986396573976
163,0.0734663388381
164,0.11500450464
165,0.09973184096
166,0.093346857207
167,0.10777079545
168,0.0876169959325
169,0.0735426582379
170,0.0931854990588
171,0.0658718118487
172,0.100067811831
173,0.162523422267
174,0.0867676452025
175,0.0707917468351
176,0.0686112838672
177,0.111346723171
178,0.0756982119751
179,0.0827814736417
180,0.0722418161412
181,0.0918665405158
182,0.0759635524307
183,0.0954723316757
184,0.0802152362907
185,0.0959492970839
186,0.0906926242318
187,0.0955518736301
188,0.0919121670285
189,0.0930621763346
190,0.0868270261847
191,0.102515243734
192,0.112330006592
193,0.129458702581
194,0.0862824767439
195,0.0838665405483
196,0.0922736723532
197,0.1708014245
198,0.116315357791
199,0.104180619125
200,0.0738411000694
201,0.0711593027543
202,0.0823321514742
203,0.071589115196
204,0.0800192795779
205,0.0742550275177
206,0.0653367762732
207,0.0700989648983
208,0.075474866568
209,0.0733384537166
210,0.0731629152582
211,0.0940185950592
212,0.0875096805022
213,0.0812663659104
214,0.0615920935733
215,0.0630241176472
216,0.0680983963599
217,0.0733395181545
218,0.0985018773783
219,0.0592096674301
220,0.0731186752161
221,0.0868059623621
222,0.0908808896512
223,0.106048210998
224,0.079608924427
225,0.0882501254659
226,0.0844649687036
227,0.0962956791192
228,0.100964003266
229,0.0995858255403
230,0.0779708907097
231,0.0769251123153
232,0.0883822511588
233,0.104724703316
234,0.0894893164605
235,0.0836473010885
236,0.0675517936207
237,0.0821892218176
238,0.0822935897194
239,0.0870817187088
240,0.0703710500312
241,0.0736289354288
242,0.081160827399
243,0.0600621030227
244,0.0657182396203
245,0.0885468848683
246,0.0781827404982
247,0.0834823812353
248,0.0721241816453
249,0.0700340598836
250,0.0671603376656
251,0.0778699144536
252,0.065431135861
253,0.0633533169712
254,0.0642857762191
255,0.0674841539171
256,0.0842703227951
257,0.0732509130513
258,0.076138012743
259,0.0590952826868
260,0.0669707821944
261,0.0652764944865
262,0.0650138856015
263,0.0874455306783
264,0.0708978555713
265,0.0728294363195
266,0.0903087346818
267,0.076732069302
268,0.0716208788859
269,0.0626492749606
270,0.0681976154661
271,0.0681063639575
272,0.0655152240841
273,0.0763728152342
274,0.0692148442798
275,0.0858557661962
276,0.0781545580873
277,0.0678324357172
278,0.0784169386511
279,0.0630019729993
280,0.07572634737
281,0.0602975809461
282,0.0688717516166
283,0.0738679968643
284,0.0686975141756
285,0.0730956035898
286,0.0713302235775
287,0.0828365182812
288,0.0826718676697
289,0.060514328204
290,0.0719850524913
291,0.0726746461546
292,0.070600476039
293,0.0895420506963
294,0.0745326898559
295,0.0581052484525
296,0.0675737404532
297,0.0891687631798
298,0.0817934556896
299,0.0529976001018
300,0.0740078030815
301,0.062662737423
302,0.0867827425369
303,0.0779269225031
304,0.0835735686773
305,0.0971610033752
306,0.116137686262
307,0.0917302099359
308,0.0843256740916
309,0.0815293182342
310,0.0818361537371
311,0.0731471776114
312,0.0951127173981
313,0.0899883087917
314,0.0855574482753
315,0.124339048493
316,0.103011867053
317,0.104887243871
318,0.125481376923
319,0.075111225858
320,0.0936873934381
321,0.0800239735226
322,0.0856307597643
323,0.108207172492
324,0.0679730285617
325,0.0722041629208
326,0.0835236263098
327,0.0728745115135
328,0.114672512843
329,0.078802765043
330,0.0816867872725
331,0.0890818460935
