,pap_lnSE
173,-5.160481145245087
174,-8.273348088932023
175,-12.256436108332117
176,-6.305453485415546
177,-6.668095789383892
178,-9.900041579975717
179,-9.105220463197305
180,-7.861930120033479
181,-8.28249651506324
182,-7.873781394071469
183,-8.36542122596357
184,-8.303854878536926
185,-10.496513979974681
186,-10.653742595580999
187,-11.231704409061061
188,-13.535970488652522
189,-10.15510523670851
190,-8.309690645894841
191,-9.247735225416855
192,-8.134000187873765
193,-6.284930526114499
194,-12.051336816713677
195,-9.557349817915853
196,-5.088606372269642
197,-5.819620533424319
198,-8.823365951241158
199,-6.9906083139958834
200,-11.842536138521792
201,-8.988537330603114
202,-9.066995044788603
203,-9.55187801504485
204,-10.312159743414261
205,-9.43931080087993
206,-10.694095842448212
207,-10.451657933085876
208,-12.297254188145638
209,-17.295304805202143
210,-7.740257910628674
211,-10.069165142745225
212,-10.152488106103393
213,-7.856886938999316
214,-13.097332798462041
215,-10.567141779452061
216,-10.502439441250194
217,-7.364812165426987
218,-6.473457999806554
219,-8.550437213155128
220,-8.582575645010435
221,-11.005804751201396
222,-8.377224153808305
223,-7.265808494608171
224,-9.502427393373317
225,-11.153335952439729
226,-8.874113101514576
227,-10.733910253715512
228,-13.17398628265371
229,-7.6687415517517
230,-13.72598759155555
231,-8.938284526962239
232,-8.227978260036462
233,-8.368268948692139
234,-10.285358887443639
235,-8.258430170397808
236,-8.448346910978376
237,-18.335176768163528
238,-10.683231103005454
239,-8.183415841125399
240,-11.453353890220093
241,-9.777218022133036
242,-7.717085392849761
243,-10.350028399496898
244,-7.559478322138196
245,-9.138806172831764
246,-10.48023249234979
247,-8.955630730091068
248,-12.341065911004053
249,-11.704294298946012
250,-9.073233821799757
251,-8.773872760731333
252,-12.352873092276853
253,-13.955370218957517
254,-11.490223134154377
255,-8.174400025463159
256,-9.016194077921984
257,-11.695005695271222
258,-8.144063111700554
259,-9.687997333502254
260,-12.760985715655437
261,-16.489689523608412
262,-7.594565180879418
263,-8.203019327892168
264,-12.498833141571941
265,-8.09347609802783
266,-8.598805481549572
267,-10.552645887497821
268,-9.427381617883146
269,-10.388512807886993
270,-18.603782064736297
271,-11.911314789101885
272,-9.045781596934361
273,-9.87905744884602
274,-8.191780882980224
275,-9.732756130341329
276,-9.146931768105068
277,-9.096728669955334
278,-8.344832891754114
279,-8.728471766241364
280,-8.343043124810885
281,-9.518002010831394
282,-10.598137198226626
283,-10.529578462867422
284,-10.853170112810263
285,-12.67877861474676
286,-8.92972205564542
287,-17.423369670574456
288,-7.619154916412042
289,-8.935914407194204
290,-14.558816055310928
291,-12.356388299189033
292,-7.932792110866502
293,-8.398162432992534
294,-8.217604172360907
295,-9.319571248201617
296,-7.6705848403378525
297,-9.819235368072219
298,-7.09504761079754
299,-7.725494206144429
300,-8.957944746647808
301,-7.44942739020637
302,-9.453360810346966
303,-10.353387015123191
